STD_ZIP5,LATITUDE,LONGITUDE
53575,42.925661486,-89.38878024
53576,42.628220328,-89.23482212
53577,43.294533576,-90.05181111
53578,43.298275686,-89.74227785
53579,43.291632151,-88.87004135
53580,42.858288473,-90.37579776
53581,43.351170906,-90.39519877
53582,43.005644317,-89.98914383
53583,43.266982561,-89.73526827
53585,42.512054596,-88.72807558
53586,42.574934139,-90.23422721
53587,42.580893344,-89.89859779
53588,43.184551451,-90.06977535
53589,42.927664056,-89.22771946
53590,43.186433763,-89.23337745
53593,43.00483033,-89.55058427
53594,43.183157127,-88.98300393
53597,43.18044136,-89.44832285
53598,43.213672105,-89.34331062
53703,43.076748066,-89.38307717
53704,43.119825817,-89.34903756
53705,43.072622388,-89.46156911
53706,43.0762132,-89.4097562
53711,43.033095107,-89.44994447
53713,43.03502053,-89.39555433
53714,43.097854707,-89.31347904
53715,43.064250047,-89.40089332
53716,43.067146546,-89.31608526
53717,43.071701644,-89.51636536
53718,43.09720319,-89.27553593
53719,43.027464592,-89.50513841
53726,43.070660835,-89.4222726
53801,42.920015576,-91.07309289
53803,42.565789947,-90.35935911
53804,42.876577299,-90.91337632
53805,43.137294199,-90.70292865
53806,42.728064418,-90.95492155
53807,42.605058214,-90.45990335
53809,42.986250679,-90.65327331
53810,42.822760832,-90.99795384
53811,42.538005108,-90.53494505
53813,42.84458753,-90.71123436
53816,42.979520976,-90.85443027
53818,42.740112412,-90.4846156
53820,42.69057786,-90.70766911
53821,43.045891205,-91.12307438
53825,42.916259396,-90.59362975
53826,43.113702022,-90.91741868
53827,43.042259732,-90.82815034
53901,43.55164036,-89.46426449
53910,43.918729771,-89.81161833
53911,43.330170111,-89.36043388
53913,43.487954208,-89.74636763
53916,43.461463496,-88.83966613
53919,43.730921354,-88.78001995
53920,43.662843262,-89.59134049
53922,43.510607299,-88.71613096
53923,43.569132655,-89.12419705
53924,43.485669101,-90.25040709
53925,43.332738939,-89.0290944
53926,43.664396053,-89.20688875
53929,43.750146981,-90.27941696
53930,43.697551382,-89.48338137
53932,43.400229702,-89.03689477
53933,43.569344088,-88.9106726
53934,43.98000598,-89.84901644
53936,43.840250891,-89.72560778
53937,43.389428232,-90.15022844
53941,43.58280933,-90.12951947
53943,43.410218953,-90.03748516
53944,43.702218969,-89.92437161
53946,43.727813369,-89.02000944
53948,43.793566908,-90.0544238
53949,43.781315588,-89.33165592
53950,43.902345575,-90.11350919
53951,43.393240053,-89.83551332
53952,43.790733012,-89.60230536
53954,43.541520008,-89.32810092
53955,43.402844916,-89.4269123
53956,43.543470337,-89.00502488
53959,43.538972022,-89.98794545
53960,43.434057585,-89.23814826
53961,43.464748433,-89.9245437
53963,43.635051648,-88.73543186
53964,43.904197138,-89.5021976
53965,43.652295203,-89.77866743
53968,43.64752468,-90.22697636
54001,45.323112449,-92.3779571
54002,44.959937714,-92.37538668
54003,44.786357947,-92.45180269
54004,45.31348981,-92.14719275
54005,45.245393624,-92.25477265
54006,45.583533966,-92.64801588
54007,45.197522553,-92.37550345
54009,45.350385395,-92.59679326
54011,44.725712746,-92.48014689
54013,45.070754852,-92.2132402
54014,44.628387175,-92.55105109
54015,44.980178196,-92.44688585
54016,44.974518294,-92.71705883
54017,45.11611696,-92.54537271
54020,45.300349947,-92.656055
54021,44.747764847,-92.76352994
